study,year,citation,location,sample_age,sample_sex,dataset,study_n,sub_n,description,related_publications,pub_doi,sss,preload_used,variety,ed_manipulation,ps_manipulation,volume_manipulation,fat_manipulation,food_form,microstructure,eating_disorder,weight_loss,obesity,social_context,age,sex,race_ethnicity,ses,bmi,recall_intake,measured_intake,pre_post_meal_q,cho_intake,fat_intake,pro_intake,fiber_intake,satfat_intake,sodium_intake,food_preference,eat_duration,substance_use,current_status_q,zung,eat,edi,ei,beck,bsq,qewp-r,debq,pfs,tfeq,rise-q,cfq,aebq,cebq,upsit,birth_control,menstrual_cycle
protien_dose,2008,,Penn State,adult,female,,18,,,"Blatt AD, Roe LS, Rolls BJ. Increasing the protein content of meals and its effect on daily energy intake. J Am Diet Assoc. 2011 Feb;111(2):290-4. doi: 10.1016/j.jada.2010.10.047. PMID: 21272705; PMCID: PMC3042728.",https://doi.org/10.1016/j.jada.2010.10.047,,,,,,,,,,,,,,1,1,1,,1,,1,1,1,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,
salad_timing2,2008,,Penn State,adult,female,,46,,,"Roe LS, Meengs JS, Rolls BJ. Salad and satiety. The effect of timing of salad consumption on meal energy intake. Appetite. 2012 Feb;58(1):242-8. doi: 10.1016/j.appet.2011.10.003. Epub 2011 Oct 8. PMID: 22008705; PMCID: PMC3264798.",https://doi.org/10.1016/j.appet.2011.10.003,,1,,,,,,,,,,,,1,0,1,,1,,1,1,1,1,1,,,,,,,,1,1,,1,,,,,,,,,,,,,
veg_ed,2008,,Penn State,adult,mixed,,41,,,"Blatt AD, Roe LS, Rolls BJ. Hidden vegetables: an effective strategy to reduce energy intake and increase vegetable intake in adults. Am J Clin Nutr. 2011 Apr;93(4):756-63. doi: 10.3945/ajcn.110.009332. Epub 2011 Feb 2. PMID: 21289225; PMCID: PMC3057545.",https://doi.org/10.3945/ajcn.110.009332,,,,1,,,,,,,,,,1,1,1,,1,,1,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,
edxe,2009,,Penn State,adult,mixed,,68,,,"Blatt AD, Williams RA, Roe LS, Rolls BJ. Effects of energy content and energy density of pre-portioned entrées on energy intake. Obesity (Silver Spring). 2012 Oct;20(10):2010-8. doi: 10.1038/oby.2011.391. Epub 2012 Jan 19. PMID: 22262161; PMCID: PMC3374070.",https://doi.org/10.1038/oby.2011.391,,,,1,,,,,,,,,,1,1,1,,1,,1,1,1,1,1,1,,,1,,,,1,1,,,,,,,,,,,,,,,
soup_ps,2009,,Penn State,child,mixed,,72,,,"Spill MK, Birch LL, Roe LS, Rolls BJ. Serving large portions of vegetable soup at the start of a meal affected children's energy and vegetable intake. Appetite. 2011 Aug;57(1):213-9. doi: 10.1016/j.appet.2011.04.024. Epub 2011 May 8. PMID: 21596073; PMCID: PMC3140700.",https://doi.org/10.1016/j.appet.2011.04.024,,,,,1,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
ed_methods,2010,,Penn State,adult,mixed,,59,,,"Williams RA, Roe LS, Rolls BJ. Comparison of three methods to reduce energy density. Effects on daily energy intake. Appetite. 2013 Jul;66:75-83. doi: 10.1016/j.appet.2013.03.004. Epub 2013 Mar 19. PMID: 23523752; PMCID: PMC3666187.",https://doi.org/10.1016/j.appet.2013.03.004,,,,1,,,,,,,,,,1,1,1,,1,,1,1,1,1,1,1,,,,,,,1,1,,1,,,,,,,,,,,,,
entrée_int,2010,,Penn State,adult,female,,47,,,"Williams RA, Roe LS, Rolls BJ. Assessment of satiety depends on the energy density and portion size of the test meal. Obesity (Silver Spring). 2014 Feb;22(2):318-24. doi: 10.1002/oby.20589. Epub 2013 Sep 23. PMID: 23929544; PMCID: PMC3874079.",https://doi.org/10.1002/oby.20589,,1,,1,1,,,,,,,,,1,,1,,1,,1,1,1,1,1,1,,,,,,,1,1,,1,,,,,,,,,,,,,
veg_ed_kids,2010,,Penn State,child,mixed,,40,,,"Spill MK, Birch LL, Roe LS, Rolls BJ. Hiding vegetables to reduce energy density: an effective strategy to increase children's vegetable intake and reduce energy intake. Am J Clin Nutr. 2011 Sep;94(3):735-41. doi: 10.3945/ajcn.111.015206. Epub 2011 Jul 20. PMID: 21775554; PMCID: PMC3155937.",https://doi.org/10.3945/ajcn.111.015206,,,,1,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
nutred_hormones,2010,,Penn State,adult,female,,71,,,"Hill BR, Rolls BJ, Roe LS, De Souza MJ, Williams NI. Ghrelin and peptide YY increase with weight loss during a 12-month intervention to reduce dietary energy density in obese women. Peptides. 2013 Nov;49:138-44. doi: 10.1016/j.peptides.2013.09.009. Epub 2013 Sep 25. PMID: 24076434; PMCID: PMC4218742.",https://doi.org/10.1016/j.peptides.2013.09.009,,,,,,,,,,,1,1,,1,,1,1,1,1,,,,,,,,,,,,1,,1,,1,1,,,,,,,,,,,,
cereal_vol,2011,,Penn State,adult,mixed,,41,,,"Rolls BJ, Meengs JS, Roe LS. Variations in cereal volume affect the amount selected and eaten for breakfast. J Acad Nutr Diet. 2014 Sep;114(9):1411-6. doi: 10.1016/j.jand.2014.01.014. Epub 2014 Mar 19. PMID: 24656953; PMCID: PMC4149854.",https://doi.org/10.1016/j.jand.2014.01.014,,,,,,1,,,,,,,,1,1,1,,1,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
cereal_vol_kids,2011,,Penn State,child,mixed,,17,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fv_variety,2011,,Penn State,child,mixed,,61,,,"Roe LS, Meengs JS, Birch LL, Rolls BJ. Serving a variety of vegetables and fruit as a snack increased intake in preschool children. Am J Clin Nutr. 2013 Sep;98(3):693-9. doi: 10.3945/ajcn.113.062901. Epub 2013 Jul 31. PMID: 23902783; PMCID: PMC3743731.",https://doi.org/10.3945/ajcn.113.062901,,,1,,,,,,,,,,,1,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
tomato_snack,2012,,Penn State,child,mixed,,20,,,,,,,,,1,,,,,,,,,,,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
leaps_weightloss,2012,,Penn State,adult,female,,186,,,"1) Rolls BJ, Roe LS, James BL, Sanchez CE. Does the incorporation of portion-control strategies in a behavioral program improve weight loss in a 1-year randomized controlled trial? Int J Obes (Lond). 2017 Mar;41(3):434-442. doi: 10.1038/ijo.2016.217. Epub 2016 Nov 30. PMID: 27899807; PMCID: PMC5340595.
2)James BL, Loken E, Roe LS, Rolls BJ. The Weight-Related Eating Questionnaire offers a concise alternative to the Three-Factor Eating Questionnaire for measuring eating behaviors related to weight loss. Appetite. 2017 Sep 1;116:108-114. doi: 10.1016/j.appet.2017.04.023. Epub 2017 Apr 22. PMID: 28442337; PMCID: PMC5520533.
3)James BL, Roe LS, Loken E, Rolls BJ. Early predictors of weight loss in a 1-year behavioural weight-loss programme. Obes Sci Pract. 2018 Jan 12;4(1):20-28. doi: 10.1002/osp4.149. PMID: 29479461; PMCID: PMC5818734.
4)James BL, Loken E, Roe LS, Myrissa K, Lawton CL, Dye L, Rolls BJ. Validation of the Diet Satisfaction Questionnaire: a new measure of satisfaction with diets for weight management. Obes Sci Pract. 2018 Oct 10;4(6):506-514. doi: 10.1002/osp4.299. PMID: 30574344; PMCID: PMC6298208.
5) Roe LS, Rolls BJ. Which strategies to manage problem foods were related to weight loss in a randomized clinical trial? Appetite. 2020 Aug 1;151:104687. doi: 10.1016/j.appet.2020.104687. Epub 2020 Mar 29. PMID: 32234531; PMCID: PMC7305980.",https://doi.org/10.1038/ijo.2016.217; https://doi.org/10.1016/j.appet.2017.04.023:  https://doi.org/10.1002/osp4.149;  https://doi.org/10.1002/osp4.299; https://doi.org/10.1016/j.appet.2020.104687,,,,,,,,,,,1,1,,1,,1,,1,1,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,
kids_psxed,2013,,Penn State,child,mixed,,120,,,"Kling SM, Roe LS, Keller KL, Rolls BJ. Double trouble: Portion size and energy density combine to increase preschool children's lunch intake. Physiol Behav. 2016 Aug 1;162:18-26. doi: 10.1016/j.physbeh.2016.02.019. Epub 2016 Feb 12. PMID: 26879105; PMCID: PMC4899121.",https://doi.org/10.1016/j.physbeh.2016.02.019,,,,,1,,,,,,,,,1,1,1,1,1,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,1,,,,,
ps_susceptibility,2013,,Penn State,adult,female,,48,,,"Roe LS, Kling SMR, Rolls BJ. What is eaten when all of the foods at a meal are served in large portions? Appetite. 2016 Apr 1;99:1-9. doi: 10.1016/j.appet.2016.01.001. Epub 2016 Jan 5. PMID: 26767612; PMCID: PMC4762726.",https://doi.org/10.1016/j.appet.2016.01.001,,,,,1,,,,,,,,,1,1,1,,1,,1,1,,,,,,,1,,,,,1,,1,,,,,,,,,,,,,
ps_susceptibility_leaps,2013,,Penn State,adult,female,,102,,,"Zuraikat FM, Roe LS, Sanchez CE, Rolls BJ. Comparing the portion size effect in women with and without extended training in portion control: A follow-up to the Portion-Control Strategies Trial. Appetite. 2018 Apr 1;123:334-342. doi: 10.1016/j.appet.2018.01.012. Epub 2018 Jan 17. PMID: 29353006; PMCID: PMC5817023.",https://doi.org/10.1016/j.appet.2018.01.012,,,,,1,,,,,,1,,,1,1,1,,1,,1,1,1,1,1,1,,,1,,,,,1,,1,,,,,,,,,,,,,
milk_edxps,2014,,Penn State,child,mixed,,125,,,"Kling SM, Roe LS, Sanchez CE, Rolls BJ. Does milk matter: Is children's intake affected by the type or amount of milk served at a meal? Appetite. 2016 Oct 1;105:509-18. doi: 10.1016/j.appet.2016.06.022. Epub 2016 Jun 21. PMID: 27338218; PMCID: PMC4980227.",https://doi.org/10.1016/j.appet.2016.06.022,,,,1,1,,,,,,,,,1,1,,,1,,1,,1,1,1,1,,,1,,,,,,,,,,,,,,,1,,1,,,
5day_ps,2015,,Penn State,child,mixed,,46,,,"Smethers AD, Roe LS, Sanchez CE, Zuraikat FM, Keller KL, Kling SMR, Rolls BJ. Portion size has sustained effects over 5 days in preschool children: a randomized trial. Am J Clin Nutr. 2019 May 1;109(5):1361-1372. doi: 10.1093/ajcn/nqy383. PMID: 30976782; PMCID: PMC6499504.",https://doi.org/10.1093/ajcn/nqy383,,,,,1,,,,,,,,,1,1,1,1,1,,1,,,,,,,,1,,,,,,,,,,,,1,1,,1,,1,,,
